"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","ELECTRICITY","NUCLEAR","GWH","A","2000",0,
"AUT","ELECTRICITY","NUCLEAR","GWH","A","2001",0,
"AUT","ELECTRICITY","NUCLEAR","GWH","A","2002",0,
"AUT","ELECTRICITY","NUCLEAR","GWH","A","2003",0,
"AUT","ELECTRICITY","NUCLEAR","GWH","A","2004",0,
"AUT","ELECTRICITY","NUCLEAR","GWH","A","2005",0,
"AUT","ELECTRICITY","NUCLEAR","GWH","A","2006",0,
"AUT","ELECTRICITY","NUCLEAR","GWH","A","2007",0,
"AUT","ELECTRICITY","NUCLEAR","GWH","A","2008",0,
"AUT","ELECTRICITY","NUCLEAR","GWH","A","2009",0,
"AUT","ELECTRICITY","NUCLEAR","GWH","A","2010",0,
"AUT","ELECTRICITY","NUCLEAR","GWH","A","2011",0,
"AUT","ELECTRICITY","NUCLEAR","GWH","A","2012",0,
"AUT","ELECTRICITY","NUCLEAR","GWH","A","2013",0,
"AUT","ELECTRICITY","NUCLEAR","GWH","A","2014",0,
"AUT","ELECTRICITY","NUCLEAR","GWH","A","2015",0,
"AUT","ELECTRICITY","NUCLEAR","GWH","A","2016",0,
"AUT","ELECTRICITY","NUCLEAR","GWH","A","2017",0,
"AUT","ELECTRICITY","NUCLEAR","GWH","A","2018",0,
"AUT","ELECTRICITY","NUCLEAR","GWH","A","2019",0,
"AUT","ELECTRICITY","NUCLEAR","GWH","A","2020",,"L"
"BEL","ELECTRICITY","NUCLEAR","GWH","A","2000",45747,
"BEL","ELECTRICITY","NUCLEAR","GWH","A","2001",44005,
"BEL","ELECTRICITY","NUCLEAR","GWH","A","2002",44987,
"BEL","ELECTRICITY","NUCLEAR","GWH","A","2003",44920,
"BEL","ELECTRICITY","NUCLEAR","GWH","A","2004",44899,
"BEL","ELECTRICITY","NUCLEAR","GWH","A","2005",45335,
"BEL","ELECTRICITY","NUCLEAR","GWH","A","2006",44314,
"BEL","ELECTRICITY","NUCLEAR","GWH","A","2007",45853,
"BEL","ELECTRICITY","NUCLEAR","GWH","A","2008",43359,
"BEL","ELECTRICITY","NUCLEAR","GWH","A","2009",44959,
"BEL","ELECTRICITY","NUCLEAR","GWH","A","2010",45729,
"BEL","ELECTRICITY","NUCLEAR","GWH","A","2011",45942,
"BEL","ELECTRICITY","NUCLEAR","GWH","A","2012",38464,
"BEL","ELECTRICITY","NUCLEAR","GWH","A","2013",40567,
"BEL","ELECTRICITY","NUCLEAR","GWH","A","2014",31969,
"BEL","ELECTRICITY","NUCLEAR","GWH","A","2015",24825,
"BEL","ELECTRICITY","NUCLEAR","GWH","A","2016",41430,
"BEL","ELECTRICITY","NUCLEAR","GWH","A","2017",40128.5,
"BEL","ELECTRICITY","NUCLEAR","GWH","A","2018",27126.3,
"BEL","ELECTRICITY","NUCLEAR","GWH","A","2019",41305.6,
"BEL","ELECTRICITY","NUCLEAR","GWH","A","2020",,"L"
"CZE","ELECTRICITY","NUCLEAR","GWH","A","2000",12709,
"CZE","ELECTRICITY","NUCLEAR","GWH","A","2001",13778,
"CZE","ELECTRICITY","NUCLEAR","GWH","A","2002",17583,
"CZE","ELECTRICITY","NUCLEAR","GWH","A","2003",24365,
"CZE","ELECTRICITY","NUCLEAR","GWH","A","2004",24816,
"CZE","ELECTRICITY","NUCLEAR","GWH","A","2005",23255,
"CZE","ELECTRICITY","NUCLEAR","GWH","A","2006",24499,
"CZE","ELECTRICITY","NUCLEAR","GWH","A","2007",24624,
"CZE","ELECTRICITY","NUCLEAR","GWH","A","2008",25015,
"CZE","ELECTRICITY","NUCLEAR","GWH","A","2009",25665,
"CZE","ELECTRICITY","NUCLEAR","GWH","A","2010",26346,
"CZE","ELECTRICITY","NUCLEAR","GWH","A","2011",26602,
"CZE","ELECTRICITY","NUCLEAR","GWH","A","2012",28603,
"CZE","ELECTRICITY","NUCLEAR","GWH","A","2013",29001,
"CZE","ELECTRICITY","NUCLEAR","GWH","A","2014",28633,
"CZE","ELECTRICITY","NUCLEAR","GWH","A","2015",25335,
"CZE","ELECTRICITY","NUCLEAR","GWH","A","2016",22727,
"CZE","ELECTRICITY","NUCLEAR","GWH","A","2017",26785.6,
"CZE","ELECTRICITY","NUCLEAR","GWH","A","2018",28252.539,
"CZE","ELECTRICITY","NUCLEAR","GWH","A","2019",28579.351,
"CZE","ELECTRICITY","NUCLEAR","GWH","A","2020",,"L"
"DNK","ELECTRICITY","NUCLEAR","GWH","A","2000",0,
"DNK","ELECTRICITY","NUCLEAR","GWH","A","2001",0,
"DNK","ELECTRICITY","NUCLEAR","GWH","A","2002",0,
"DNK","ELECTRICITY","NUCLEAR","GWH","A","2003",0,
"DNK","ELECTRICITY","NUCLEAR","GWH","A","2004",0,
"DNK","ELECTRICITY","NUCLEAR","GWH","A","2005",0,
"DNK","ELECTRICITY","NUCLEAR","GWH","A","2006",0,
"DNK","ELECTRICITY","NUCLEAR","GWH","A","2007",0,
"DNK","ELECTRICITY","NUCLEAR","GWH","A","2008",0,
"DNK","ELECTRICITY","NUCLEAR","GWH","A","2009",0,
"DNK","ELECTRICITY","NUCLEAR","GWH","A","2010",0,
"DNK","ELECTRICITY","NUCLEAR","GWH","A","2011",0,
"DNK","ELECTRICITY","NUCLEAR","GWH","A","2012",0,
"DNK","ELECTRICITY","NUCLEAR","GWH","A","2013",0,
"DNK","ELECTRICITY","NUCLEAR","GWH","A","2014",0,
"DNK","ELECTRICITY","NUCLEAR","GWH","A","2015",0,
"DNK","ELECTRICITY","NUCLEAR","GWH","A","2016",0,
"DNK","ELECTRICITY","NUCLEAR","GWH","A","2017",0,
"DNK","ELECTRICITY","NUCLEAR","GWH","A","2018",0,
"DNK","ELECTRICITY","NUCLEAR","GWH","A","2019",0,
"DNK","ELECTRICITY","NUCLEAR","GWH","A","2020",,"L"
"FIN","ELECTRICITY","NUCLEAR","GWH","A","2000",21575,
"FIN","ELECTRICITY","NUCLEAR","GWH","A","2001",21854,
"FIN","ELECTRICITY","NUCLEAR","GWH","A","2002",21395,
"FIN","ELECTRICITY","NUCLEAR","GWH","A","2003",21830,
"FIN","ELECTRICITY","NUCLEAR","GWH","A","2004",21814,
"FIN","ELECTRICITY","NUCLEAR","GWH","A","2005",22356,
"FIN","ELECTRICITY","NUCLEAR","GWH","A","2006",22004,
"FIN","ELECTRICITY","NUCLEAR","GWH","A","2007",22501,
"FIN","ELECTRICITY","NUCLEAR","GWH","A","2008",22050,
"FIN","ELECTRICITY","NUCLEAR","GWH","A","2009",22601,
"FIN","ELECTRICITY","NUCLEAR","GWH","A","2010",21889,
"FIN","ELECTRICITY","NUCLEAR","GWH","A","2011",22266,
"FIN","ELECTRICITY","NUCLEAR","GWH","A","2012",22063,
"FIN","ELECTRICITY","NUCLEAR","GWH","A","2013",22673,
"FIN","ELECTRICITY","NUCLEAR","GWH","A","2014",22646,
"FIN","ELECTRICITY","NUCLEAR","GWH","A","2015",22326,
"FIN","ELECTRICITY","NUCLEAR","GWH","A","2016",22280,
"FIN","ELECTRICITY","NUCLEAR","GWH","A","2017",21574,
"FIN","ELECTRICITY","NUCLEAR","GWH","A","2018",21881,
"FIN","ELECTRICITY","NUCLEAR","GWH","A","2019",22915,
"FIN","ELECTRICITY","NUCLEAR","GWH","A","2020",,"L"
"FRA","ELECTRICITY","NUCLEAR","GWH","A","2000",395200,
"FRA","ELECTRICITY","NUCLEAR","GWH","A","2001",401256,
"FRA","ELECTRICITY","NUCLEAR","GWH","A","2002",416500,
"FRA","ELECTRICITY","NUCLEAR","GWH","A","2003",420669,
"FRA","ELECTRICITY","NUCLEAR","GWH","A","2004",427698,
"FRA","ELECTRICITY","NUCLEAR","GWH","A","2005",429977,
"FRA","ELECTRICITY","NUCLEAR","GWH","A","2006",428675,
"FRA","ELECTRICITY","NUCLEAR","GWH","A","2007",418609,
"FRA","ELECTRICITY","NUCLEAR","GWH","A","2008",418298,
"FRA","ELECTRICITY","NUCLEAR","GWH","A","2009",389998,
"FRA","ELECTRICITY","NUCLEAR","GWH","A","2010",407878,
"FRA","ELECTRICITY","NUCLEAR","GWH","A","2011",421078,
"FRA","ELECTRICITY","NUCLEAR","GWH","A","2012",404880,
"FRA","ELECTRICITY","NUCLEAR","GWH","A","2013",403695,
"FRA","ELECTRICITY","NUCLEAR","GWH","A","2014",415862,
"FRA","ELECTRICITY","NUCLEAR","GWH","A","2015",416795,
"FRA","ELECTRICITY","NUCLEAR","GWH","A","2016",384008,
"FRA","ELECTRICITY","NUCLEAR","GWH","A","2017",379093.955,
"FRA","ELECTRICITY","NUCLEAR","GWH","A","2018",393134.327,
"FRA","ELECTRICITY","NUCLEAR","GWH","A","2019",379464,
"FRA","ELECTRICITY","NUCLEAR","GWH","A","2020",,"L"
"DEU","ELECTRICITY","NUCLEAR","GWH","A","2000",160707,
"DEU","ELECTRICITY","NUCLEAR","GWH","A","2001",162316,
"DEU","ELECTRICITY","NUCLEAR","GWH","A","2002",156287,
"DEU","ELECTRICITY","NUCLEAR","GWH","A","2003",156456,
"DEU","ELECTRICITY","NUCLEAR","GWH","A","2004",158378,
"DEU","ELECTRICITY","NUCLEAR","GWH","A","2005",154612,
"DEU","ELECTRICITY","NUCLEAR","GWH","A","2006",158711,
"DEU","ELECTRICITY","NUCLEAR","GWH","A","2007",133229,
"DEU","ELECTRICITY","NUCLEAR","GWH","A","2008",140710,
"DEU","ELECTRICITY","NUCLEAR","GWH","A","2009",127690,
"DEU","ELECTRICITY","NUCLEAR","GWH","A","2010",132971,
"DEU","ELECTRICITY","NUCLEAR","GWH","A","2011",102241,
"DEU","ELECTRICITY","NUCLEAR","GWH","A","2012",94180,
"DEU","ELECTRICITY","NUCLEAR","GWH","A","2013",92127,
"DEU","ELECTRICITY","NUCLEAR","GWH","A","2014",91800,
"DEU","ELECTRICITY","NUCLEAR","GWH","A","2015",86765,
"DEU","ELECTRICITY","NUCLEAR","GWH","A","2016",80038,
