"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","ELECTRICITY","TOT","GWH","A","2000",59054,
"AUT","ELECTRICITY","TOT","GWH","A","2001",60111,
"AUT","ELECTRICITY","TOT","GWH","A","2002",59937,
"AUT","ELECTRICITY","TOT","GWH","A","2003",57413,
"AUT","ELECTRICITY","TOT","GWH","A","2004",61387,
"AUT","ELECTRICITY","TOT","GWH","A","2005",63671,
"AUT","ELECTRICITY","TOT","GWH","A","2006",61228,
"AUT","ELECTRICITY","TOT","GWH","A","2007",61810,
"AUT","ELECTRICITY","TOT","GWH","A","2008",63589,
"AUT","ELECTRICITY","TOT","GWH","A","2009",66032,
"AUT","ELECTRICITY","TOT","GWH","A","2010",67709,
"AUT","ELECTRICITY","TOT","GWH","A","2011",62592,
"AUT","ELECTRICITY","TOT","GWH","A","2012",69525,
"AUT","ELECTRICITY","TOT","GWH","A","2013",65260,
"AUT","ELECTRICITY","TOT","GWH","A","2014",62248,
"AUT","ELECTRICITY","TOT","GWH","A","2015",61928,
"AUT","ELECTRICITY","TOT","GWH","A","2016",64961,
"AUT","ELECTRICITY","TOT","GWH","A","2017",68093.595,
"AUT","ELECTRICITY","TOT","GWH","A","2018",65383.711,
"AUT","ELECTRICITY","TOT","GWH","A","2019",71101.127,
"AUT","ELECTRICITY","TOT","GWH","A","2020",,"L"
"BEL","ELECTRICITY","TOT","GWH","A","2000",80266,
"BEL","ELECTRICITY","TOT","GWH","A","2001",76216,
"BEL","ELECTRICITY","TOT","GWH","A","2002",78147,
"BEL","ELECTRICITY","TOT","GWH","A","2003",80858,
"BEL","ELECTRICITY","TOT","GWH","A","2004",81730,
"BEL","ELECTRICITY","TOT","GWH","A","2005",83396,
"BEL","ELECTRICITY","TOT","GWH","A","2006",81977,
"BEL","ELECTRICITY","TOT","GWH","A","2007",85098,
"BEL","ELECTRICITY","TOT","GWH","A","2008",81384,
"BEL","ELECTRICITY","TOT","GWH","A","2009",87523,
"BEL","ELECTRICITY","TOT","GWH","A","2010",91975,
"BEL","ELECTRICITY","TOT","GWH","A","2011",86752,
"BEL","ELECTRICITY","TOT","GWH","A","2012",79825,
"BEL","ELECTRICITY","TOT","GWH","A","2013",80206,
"BEL","ELECTRICITY","TOT","GWH","A","2014",69818,
"BEL","ELECTRICITY","TOT","GWH","A","2015",67379,
"BEL","ELECTRICITY","TOT","GWH","A","2016",82457,
"BEL","ELECTRICITY","TOT","GWH","A","2017",83116.9,
"BEL","ELECTRICITY","TOT","GWH","A","2018",71984.3,
"BEL","ELECTRICITY","TOT","GWH","A","2019",89890.6,
"BEL","ELECTRICITY","TOT","GWH","A","2020",,"L"
"CZE","ELECTRICITY","TOT","GWH","A","2000",68014,
"CZE","ELECTRICITY","TOT","GWH","A","2001",68780,
"CZE","ELECTRICITY","TOT","GWH","A","2002",70393,
"CZE","ELECTRICITY","TOT","GWH","A","2003",76659,
"CZE","ELECTRICITY","TOT","GWH","A","2004",77919,
"CZE","ELECTRICITY","TOT","GWH","A","2005",76192,
"CZE","ELECTRICITY","TOT","GWH","A","2006",77884,
"CZE","ELECTRICITY","TOT","GWH","A","2007",81412,
"CZE","ELECTRICITY","TOT","GWH","A","2008",77085,
"CZE","ELECTRICITY","TOT","GWH","A","2009",75990,
"CZE","ELECTRICITY","TOT","GWH","A","2010",78302,
"CZE","ELECTRICITY","TOT","GWH","A","2011",79908,
"CZE","ELECTRICITY","TOT","GWH","A","2012",80309,
"CZE","ELECTRICITY","TOT","GWH","A","2013",79777,
"CZE","ELECTRICITY","TOT","GWH","A","2014",79116,
"CZE","ELECTRICITY","TOT","GWH","A","2015",76916,
"CZE","ELECTRICITY","TOT","GWH","A","2016",76398,
"CZE","ELECTRICITY","TOT","GWH","A","2017",79885.766,
"CZE","ELECTRICITY","TOT","GWH","A","2018",80861.141,
"CZE","ELECTRICITY","TOT","GWH","A","2019",80116.433,
"CZE","ELECTRICITY","TOT","GWH","A","2020",,"L"
"DNK","ELECTRICITY","TOT","GWH","A","2000",34448,
"DNK","ELECTRICITY","TOT","GWH","A","2001",36165,
"DNK","ELECTRICITY","TOT","GWH","A","2002",37336,
"DNK","ELECTRICITY","TOT","GWH","A","2003",43754,
"DNK","ELECTRICITY","TOT","GWH","A","2004",38402,
"DNK","ELECTRICITY","TOT","GWH","A","2005",34413,
"DNK","ELECTRICITY","TOT","GWH","A","2006",43185,
"DNK","ELECTRICITY","TOT","GWH","A","2007",37356,
"DNK","ELECTRICITY","TOT","GWH","A","2008",34852,
"DNK","ELECTRICITY","TOT","GWH","A","2009",34462,
